destination_port,flow_duration,total_fwd_packets,total_backward_packets,total_length_of_fwd_packets,total_length_of_bwd_packets,fwd_packet_length_max,fwd_packet_length_min,fwd_packet_length_mean,fwd_packet_length_std,bwd_packet_length_max,bwd_packet_length_min,bwd_packet_length_mean,bwd_packet_length_std,flow_bytes_s,flow_packets_s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_total,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_total,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_length,bwd_header_length,fwd_packets_s,bwd_packets_s,min_packet_length,max_packet_length,packet_length_mean,packet_length_std,packet_length_variance,fin_flag_count,syn_flag_count,rst_flag_count,psh_flag_count,ack_flag_count,urg_flag_count,cwe_flag_count,ece_flag_count,down_up_ratio,average_packet_size,avg_fwd_segment_size,avg_bwd_segment_size,fwd_header_length.1,fwd_avg_bytes_bulk,fwd_avg_packets_bulk,fwd_avg_bulk_rate,bwd_avg_bytes_bulk,bwd_avg_packets_bulk,bwd_avg_bulk_rate,subflow_fwd_packets,subflow_fwd_bytes,subflow_bwd_packets,subflow_bwd_bytes,init_win_bytes_forward,init_win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min
53,206,2,2,68,132,34,34,34.0,0.0,66,66,66.0,0.0,970873.7864,19417.47573,68.66666667,113.738003,200,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,64,64,9708.737864,9708.737864,34,66,46.8,17.52712184,307.2,0,0,0,0,0,0,0,0,1,58.5,34.0,66.0,64,0,0,0,0,0,0,2,68,2,132,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0
443,676974,9,6,1697,1221,1349,0,188.5555555556,441.1349314867,1069,2,203.5,425.2993063714,4310.357561738,22.1574240665,48355.2857142857,47275.8277402678,118426,4,676974,84621.75,64370.7835295974,207316,4,459769,91953.8,97240.5990813508,198671,1280,0,0,0,0,192,124,13.2944544399,8.8629696266,0,1349,182.375,408.0424610258,166498.65,0,0,0,1,0,0,0,0,0,194.5333333333,188.5555555556,203.5,192,0,0,0,0,0,0,9,1697,6,1221,8192,65535,8,20,0.0,0.0,0,0,0.0,0.0,0,0
443,63161627,7,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.110826784,10500000.0,11900000.0,32100000,997609,63200000,10500000.0,11900000.0,32100000,997609,0,0.0,0.0,0,0,0,0,0,0,280,0,0.110826784,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,280,0,0,0,0,0,0,7,0,0,0,29200,-1,0,40,7009617.0,0.0,7009617,7009617,18700000.0,12300000.0,32100000,8023974
53,79283,1,1,56,137,56,56,56.0,0.0,137,137,137.0,0.0,2434.317571,25.22608882,79283.0,0.0,79283,79283,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,12.61304441,12.61304441,56,137,83.0,46.7653718,2187.0,0,0,0,0,0,0,0,0,1,124.5,56.0,137.0,40,0,0,0,0,0,0,1,56,1,137,-1,-1,0,40,0.0,0.0,0,0,0.0,0.0,0,0
443,294065,19,29,871,39643,389,0,45.84210526,105.6873077,4344,0,1367.0,837.4486338,137772.2612,163.229218,6256.702128,15492.27121,66550,1,294065,16336.94444,22088.24649,66550,1,210098,7503.5,23099.79178,91007,50,0,0,0,0,620,936,64.61156547,98.61765256,0,4344,826.8163265,919.3781339,845256.1531,0,0,0,1,0,0,0,0,1,844.0416667,45.84210526,1367.0,620,0,0,0,0,0,0,19,871,29,39643,65535,122,6,32,0.0,0.0,0,0,0.0,0.0,0,0
53,61032,4,2,120,264,30,30,30.0,0.0,132,132,132.0,0.0,6291.7813605977,98.3090837593,12206.4,16710.0296917749,32119,3,32215,10738.3333333333,18516.2004831805,32119,48,3,3.0,0.0,3,3,0,0,0,0,80,64,65.5393891729,32.7696945864,30,132,59.1428571429,49.7709037204,2477.1428571429,0,0,0,0,0,0,0,0,0,69.0,30.0,132.0,80,0,0,0,0,0,0,4,120,2,264,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0
22,1286956,41,42,2728,6634,456,0,66.53658537,110.1299454,976,0,157.952381,319.1214275,7274.529976,64.49326939,15694.58537,106121.3177,955755,0,1286956,32173.9,159493.6107,997363,1,331066,8074.780488,20857.0184,112822,1,0,0,0,0,1328,1360,31.85812102,32.63514837,0,976,111.452381,241.6427915,58391.23867,0,0,0,1,0,0,0,0,1,112.7951807,66.53658537,157.952381,1328,0,0,0,0,0,0,41,2728,42,6634,29200,243,24,32,0.0,0.0,0,0,0.0,0.0,0,0
53,30698,2,2,72,256,36,36,36.0,0.0,128,128,128.0,0.0,10684.73516,130.3016483,10232.66667,17640.36012,30602,48,48,48.0,0.0,48,48,48,48.0,0.0,48,48,0,0,0,0,40,40,65.15082416,65.15082416,36,128,72.8,50.39047529,2539.2,0,0,0,0,0,0,0,0,1,91.0,36.0,128.0,40,0,0,0,0,0,0,2,72,2,256,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
60741,40,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,50000.0,40.0,0.0,40,40,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,25000.0,25000.0,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,905,229,0,32,0.0,0.0,0,0,0.0,0.0,0,0
443,225096,8,7,382,3788,201,0,47.75,74.77728838,1460,0,541.1428571,661.7178222,18525.42915,66.63823435,16078.28571,17638.21551,40728,2,187058,26722.57143,20033.17273,50930,1337,184978,30829.66667,32716.05622,69811,55,0,0,0,0,172,152,35.54039166,31.0978427,0,1460,260.625,493.1293103,243176.5167,0,0,0,1,0,0,0,0,0,278.0,47.75,541.1428571,172,0,0,0,0,0,0,8,382,7,3788,8192,60,7,20,0.0,0.0,0,0,0.0,0.0,0,0
